activo_corriente;capital_invertido;departamento;provincia;gastos_financieros;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;uso_de_software;sobrevive_2años
6111687;1926500;14;1401;0;1589152;5277181;3803972;74;9308564;0;9308564;20;5675543;1;1;False;False;False;False;False;False;True;False;False;False;False
459815;121134;14;1401;0;410101;8649;474583;0;483232;0;483232;4;2929296;1;1;False;False;False;False;False;False;True;False;False;False;True
1336352;121134;14;1401;0;695128;691954;690436;288335;1382390;0;1382390;3;3310132;6;1;False;False;False;True;False;False;False;False;False;False;True
2815459;658997;14;1409;0;805341;1466359;1528506;1;2994865;0;2994865;8;6265646;1;1;False;False;False;False;False;False;True;False;False;False;False
891646;208267;14;1401;0;392721;279600;3031069;0;3310669;0;3310669;5;4243171;1;1;False;False;False;False;False;False;True;False;False;False;False
1872542;126367;14;1401;0;618612;1262881;2564167;0;3827048;0;3827048;6;6299752;7;1;False;False;False;False;False;True;False;False;False;False;True
1230143;9951;14;1401;21537;259371;294264;984989;224923;1332907;53654;1332907;68;3705278;4;1;False;True;False;False;False;False;False;False;False;True;True
7294788;1926500;14;1401;0;1473644;5277181;4855232.25;206067;10137014.5;413218.75;10137014.5;6;7787245;1;1;False;False;False;False;False;False;True;False;False;False;True
611305;5000;14;1401;0;326749;10478;431160;0;611305;169667;611305;4;2513449;1;1;False;False;False;False;False;False;True;False;False;False;False
3198151;1320173;14;1401;14277;1671598;376819;4855232.25;727723.75;10137014.5;413218.75;10137014.5;12;7932771;7;1;False;False;False;False;False;True;False;False;False;False;False
7294788;1775890;14;1401;108440;2497747.75;5277181;3310022;552175;10137014.5;0;10137014.5;13;7861915;1;1;False;False;False;False;False;False;True;False;False;True;True
596376;42412;14;1401;0;224648;372830;283866;624;656696;0;656696;4;5016745;1;1;False;False;False;False;False;False;True;False;False;False;True
3094111;603394;14;1401;0;2024286;1084146;2120776;0;3301168;96246;3301168;16;8820941;1;1;False;False;False;False;False;False;True;False;False;False;True
560965;425157;14;1402;0;863529;6400;703326;5;709726;0;709726;9;5645322;7;1;False;False;False;False;False;True;False;False;False;False;False
934492;9951;14;1401;0;291012;165952;829024;0;994976;0;994976;1;4157311;1;1;False;False;False;False;False;False;True;False;False;False;True
585202;77478;14;1401;0;159367;191;736734;0;736925;0;736925;2;2492115;7;1;False;False;False;False;False;True;False;False;False;False;False
7294788;1926500;14;1401;108440;2403327;5277181;4855232.25;727723.75;10137014.5;144937;10137014.5;61;5682816;4;2;False;True;False;False;False;False;True;False;False;True;True
4472947;1926500;14;1401;108440;1421364;2268040;1593316;-436634.25;4830560;413218.75;4830560;22;3578081;1;1;False;False;False;False;False;False;True;False;False;False;True
2636847;1155290;14;1401;108440;796488;670695;2127778;333899;2798473;0;2798473;92;2954442;2;1;False;False;True;False;False;False;False;False;False;True;True
3695000;1926500;14;1401;108440;623541;491204;2459381;233871;5167740;413218.75;5167740;12;6318873;1;2;True;False;False;False;False;False;True;False;False;False;True
2691922;1198247;14;1401;0;849591;1730104;1375498;0;3105602;0;3105602;4;7844237;3;2;True;False;False;False;False;False;True;False;False;False;True
3294779;500;14;1401;1323;259075;216666;4855232.25;-169719;6185497;0;6185497;61;2731214;1;1;False;False;False;False;False;False;True;False;False;True;True
2389072;241872;14;1401;0;272437;423452;2025552;40850;2449004;0;2449004;8;8974287;5;2;False;False;False;False;False;False;True;False;True;False;True
4678650;1506118;14;1403;66098;2060111;1014248;4562033;197642;7070368;413218.75;7070368;61;8322595;2;3;False;False;True;False;False;False;True;False;True;False;True
5533679;186832;14;1409;0;2497747.75;908153;4855232.25;24479;6446597;0;6446597;16;7237854;9;0;False;False;False;False;False;False;False;False;False;False;True
5910969;186832;14;1409;108440;2497747.75;407361;4855232.25;727723.75;5973631;0;5973631;10;7566796;9;1;False;False;False;False;False;False;False;True;False;False;True
2002804;2;14;1401;21811;634660;1081069;1513428;92382;2594498;1;2594498;15;6168468;1;1;False;False;False;False;False;False;True;False;False;False;True
752748;833177;14;1401;0;1266447;169159;1492101;0;1661260;0;1661260;3;6170068;1;0;False;False;False;False;False;False;False;False;False;False;True
3447711;665000;14;1403;0;585767;2226;3973690;284439;3975916;0;3975916;33;4525200;5;3;False;True;False;True;False;False;False;False;True;False;True
5937898;1926500;14;1401;108440;1654343;2847147;4747725;532574;7594872;0;7594872;80;7457313;1;1;False;False;False;False;False;False;True;False;False;True;True
2520648;263553;14;1401;108440;737048;2692232;1242752;672193;3934984;0;3934984;15;7279613;1;1;False;False;False;False;False;False;True;False;False;False;True
4586952;254360;14;1410;0;646389;767167;4097167;408251;4864334;0;4864334;30;5434460;1;2;False;False;False;False;False;False;True;False;True;False;True
2263008;250743;14;1401;30;695805;291929;21870;-339569;2745594;413218.75;2745594;50;3676631;3;3;True;False;False;False;False;False;True;False;True;False;True
6859368;76520;14;1401;0;628479;0;4855232.25;28827;7114188;413218.75;7114188;100;667774;4;1;False;True;False;False;False;False;False;False;False;True;True
2448788;22059;14;1401;0;414364;411864;851446;85301;2753934;413218.75;2753934;17;5904614;4;1;False;True;False;False;False;False;False;False;False;True;True
6247209;35000;14;1409;0;2497747.75;430763;4855232.25;7919;7427547;0;7427547;16;7243461;1;1;False;False;False;False;False;False;True;False;False;False;True
7294788;250000;14;1409;0;801673;5277181;1869644;322190;10137014.5;413218.75;10137014.5;27;3485537;1;1;False;False;False;False;False;False;True;False;False;False;True
3892459;16475;14;1401;108440;1124408;3255733;2011406;444456;5267139;0;5267139;11;4184747;6;2;False;False;False;True;False;False;True;False;False;False;False
2328947;580260;14;1401;0;1292380;156556;2768827;2818;2925383;0;2925383;9;6575957;9;0;False;False;False;False;False;False;False;False;False;False;True
1820809;704306;14;1401;17168;288994;0;1325851;20142;1988562;413218.75;1988562;43;2614865;1;1;False;False;False;False;False;False;True;False;False;True;True
0;0;14;1401;0;0;0;0;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False
0;0;14;1401;0;0;0;0;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False
7294788;1224470;14;1401;108440;1703955;5277181;4855232.25;727723.75;10137014.5;0;10137014.5;11;5468171;1;1;False;False;False;False;False;False;True;False;False;False;False
729576;150000;14;1401;9202;737747;361139;1054958;265342;1441972;25875;1441972;31;4652415;4;1;False;True;False;False;False;False;False;False;False;False;True
6262631;1926500;14;1403;108440;807249;5277181;4855232.25;727723.75;10137014.5;413218.75;10137014.5;57;3019541;1;1;False;False;False;False;False;False;True;False;False;True;True
1155674;1000000;14;1407;32666;451150;612095;1723459;110619;2335554;0;2335554;20;5790853;1;1;False;False;False;False;False;False;True;False;False;False;True
483803;1300110;14;1401;41307;261601;5277181;4855232.25;251353;10137014.5;0;10137014.5;6;2196658;1;1;False;False;False;False;False;False;True;False;False;True;True
2805942;1926500;14;1408;108440;45144;2994301;3123678;356997;6117979;0;6117979;18;781216;1;1;False;False;False;False;False;False;True;False;False;False;True
2443694;59707;14;1409;2;1345198;484474;2257749;727723.75;2742223;0;2742223;18;6366889;9;0;False;False;False;False;False;False;False;False;False;False;True
1014095;60000;14;1401;56684;0;1078588;-13312;-46062;1065276;0;1065276;9;0;1;1;False;False;False;False;False;False;True;False;False;False;False
2295983;10512;14;1401;712;877181;322276;2111964;355464;2434240;0;2434240;11;7261392;1;2;False;False;False;False;False;False;True;False;True;False;True
1758170;295000;14;1407;103264;2293705;1821895;1500957;332201;3322852;0;3322852;35;3064869;1;1;False;False;False;False;False;False;True;False;False;True;True
3330137;1373840;14;1409;108440;719690;0;4855232.25;727723.75;10137014.5;413218.75;10137014.5;99;6548254;1;1;False;False;False;False;False;False;True;False;False;False;True
2005460;1347731;14;1401;17511;177227;1679397;1414396;94032;3093793;0;3093793;16;2395305;1;1;False;False;False;False;False;False;True;False;False;False;True
1335123;1926500;14;1401;12283;910232;4024660;4855232.25;0;9323085;0;9323085;9;8591120;1;1;False;False;False;False;False;False;True;False;False;False;True
1855823;26355;14;1405;1172;788721;1048524;965769;603779;2014293;0;2014293;50;7468510;3;1;True;False;False;False;False;False;False;False;False;True;True
1577747;163760;14;1405;0;654985;3896;1513051;115447;2383595;413218.75;2383595;40;7627676;4;1;False;True;False;False;False;False;False;False;False;True;True
2504195;422153;14;1401;690;199802;798861;2007187;113284;2806048;0;2806048;20;3243614;1;1;False;False;False;False;False;False;True;False;False;False;True
1995045;644639;14;1401;3077;1051947;1256584;2183674;438122;3440258;0;3440258;46;5351908;4;3;False;True;False;False;False;False;True;False;True;False;True
2249120;120254;14;1402;0;529160;862447;1704193;147456;2566640;0;2566640;33;2823611;9;0;False;False;False;False;False;False;False;False;False;True;True
3626706;1926500;14;1401;108440;2497747.75;3004452;3661144;527507;10137014.5;413218.75;10137014.5;89;7600749;2;1;False;False;True;False;False;False;False;False;False;False;True
2524118;4800;14;1401;11312;1073637;80713;2825056;234977;2915072;9303;2915072;19;6753445;6;1;False;False;False;True;False;False;False;False;False;True;True
2378385;843190;14;1408;108440;889629;3079245;1753180;396232;4840566;8141;4840566;19;5782884;2;2;False;False;True;False;False;False;False;False;True;False;True
4345079;867500;14;1401;108440;885821;2417221;2010147;293844;7851611;413218.75;7851611;13;9029388;1;3;False;True;False;False;False;False;True;False;True;True;True
2589543;85000;14;1403;4363;601014;1447856;1422900;260470;2870756;0;2870756;11;2924057;1;1;False;False;False;False;False;False;True;False;False;False;True
1659006;800000;14;1401;0;173482;0;1399791;34280;2212842;413218.75;2212842;11;2312666;1;1;False;False;False;False;False;False;True;False;False;False;True
1662760;73000;14;1401;21467;222680;1045202;718791;109109;1763993;0;1763993;6;2392014;4;1;False;True;False;False;False;False;False;False;False;True;True
3984096;1370437;14;1401;0;2422598;1063764;3369362;401082;6797997;413218.75;6797997;16;9009599;3;1;True;False;False;False;False;False;False;False;False;False;True
2535287;164924;14;1401;57882;595189;1873991;1348117;245588;3222108;0;3222108;61;4712686;1;1;False;False;False;False;False;False;True;False;False;False;True
1717701;220000;14;1401;10900;956402;177705;3073447;329840;4205883;413218.75;4205883;48;6404624;6;1;False;False;False;True;False;False;False;False;False;False;True
3089901;162600;14;1401;70309;339809;3030322;521820;105794;3552142;0;3552142;9;7551325;1;1;False;False;False;False;False;False;True;False;False;False;True
1705329;610000;14;1401;0;1085754;63343;2216313;317462;2279656;0;2279656;14;4712949;2;1;False;False;True;False;False;False;False;False;False;False;True
2914143;60000;14;1401;0;859486;632231;3799342;2;4582163;150590;4582163;15;7138419;2;1;False;False;True;False;False;False;False;False;False;False;True
1524378;626580;14;1401;108440;1012385;2994665;1456544;360788;4836119;384910;4836119;20;4109326;1;1;False;False;False;False;False;False;True;False;False;False;True
7028358;1926500;14;1401;108440;2497747.75;5277181;3380952;639439;10137014.5;413218.75;10137014.5;8;7132502;9;2;False;False;False;False;False;False;True;True;False;False;True
6219632;1250000;14;1401;108440;1061284;5277181;2618110;563516;8193287;85754;8193287;12;5191639;4;3;False;True;False;False;False;False;True;False;True;False;True
7294788;1068000;14;1401;0;2497747.75;5277181;4855232.25;93541;10137014.5;0;10137014.5;16;7144676;1;2;False;True;False;False;False;False;True;False;False;False;True
2489155;401072;14;1401;0;1454399;1701923;1125638;1372;3378679;413218.75;3378679;17;3851100;2;1;False;False;True;False;False;False;False;False;False;False;True
