capital_invertido;provincia;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;total_activo;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;publicidad;uso_de_software;sobrevive_2años
1926500;1501;1589152;5277181;3803972;9308564;20;5675543;1;1;False;False;False;False;False;False;True;False;False;True;False;False
121134;1501;410101;8649;474583;483232;4;2929296;1;1;False;False;False;False;False;False;True;False;False;True;False;True
121134;1501;695128;691954;690436;1382390;3;3310132;6;1;False;False;False;True;False;False;False;False;False;True;False;True
658997;1509;805341;1466359;1528506;2994865;8;6265646;1;1;False;False;False;False;False;False;True;False;False;False;False;False
208267;1501;392721;279600;3031069;3310669;5;4243171;1;1;False;False;False;False;False;False;True;False;False;False;False;False
126367;1501;618612;1262881;2564167;3827048;6;6299752;7;1;False;False;False;False;False;True;False;False;False;True;False;True
9951;1501;259371;294264;984989;1332907;68;3705278;4;1;False;True;False;False;False;False;False;False;False;True;True;True
1926500;1501;1473644;5277181;4855232.25;10137014.5;6;7787245;1;1;False;False;False;False;False;False;True;False;False;True;False;True
5000;1501;326749;10478;431160;611305;4;2513449;1;1;False;False;False;False;False;False;True;False;False;True;False;False
1320173;1501;1671598;376819;4855232.25;10137014.5;12;7932771;7;1;False;False;False;False;False;True;False;False;False;True;False;False
1775890;1501;2497747.75;5277181;3310022;10137014.5;13;7861915;1;1;False;False;False;False;False;False;True;False;False;False;True;True
42412;1501;224648;372830;283866;656696;4;5016745;1;1;False;False;False;False;False;False;True;False;False;False;False;True
603394;1501;2024286;1084146;2120776;3301168;16;8820941;1;1;False;False;False;False;False;False;True;False;False;True;False;True
425157;1502;863529;6400;703326;709726;9;5645322;7;1;False;False;False;False;False;True;False;False;False;False;False;False
9951;1501;291012;165952;829024;994976;1;4157311;1;1;False;False;False;False;False;False;True;False;False;False;False;True
77478;1501;159367;191;736734;736925;2;2492115;7;1;False;False;False;False;False;True;False;False;False;False;False;False
1926500;1501;2403327;5277181;4855232.25;10137014.5;61;5682816;4;2;False;True;False;False;False;False;True;False;False;True;True;True
1926500;1501;1421364;2268040;1593316;4830560;22;3578081;1;1;False;False;False;False;False;False;True;False;False;False;False;True
