IRUC;ACTIVIDADECONOMICA;Actividad economica;Activo corriente;CIIU;Capital Suscrito;Capital pagado;Departamento;Distrito;Dividendos pagados1;Dividendos pagados2;Gastos financieros;MERCADERIAPRINCIPAL;Margen Comercial;NumMeses;Pasivo corriente;Patrimonio neto;Prestación de servicios;Provincia;Resultado de Explotacion;Total Activo;Total Pasivo no corriente;Total Pasivo y Patrimonio;Totalempleados;VENTAS;Ventas netas de mercaderías;Ventas netas de productos terminados, subproductos, desechos y desperdicios;canal_dominante;nro_canales_usados;publicidad;usa_catalogo;usa_comisionistas;usa_domicilio;usa_ecommerce;usa_ferias;usa_maquinas;usa_mostrador;usa_otros;usa_telefono;usa_total;usa_ventas_comisionistas;uso_de_software;ventas_catalogo;ventas_comisionistas;ventas_domicilio;ventas_ecommerce;ventas_ferias;ventas_maquinas;ventas_mostrador;ventas_otros;ventas_telefono;ventas_total;ventas_total_canal13;ventas_ventas_comisionistas;Año;Sobrevive_2años
233;;;2329080;;492411;492411;15;150199;0;;42379;;1092782;;90142;5363551;0;1501;231841;5453693;0;5453693;17;8827287;8827287;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;;0;;;;;;;;;;;2015;0
1422;VENTA AL POR MAYOR Y MENOR DE ABARROTES;;655607;4721;459144;3000000;15;150199;0;0;386112;LECHE;25651;12;8573;571956;0;1501;-1385061;704662;124133;704662;3;7522260;7522260;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;2016;0
2502;;;1504242;;144574;144574;15;150199;0;;51383;;1623338;;119766;2494256;0;1501;441991;3126993;512971;3126993;18;8422528;8422528;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;;0;;;;;;;;;;;2015;0
2670;VENTA DE MATERIAL DRYWALL Y LANA DE VIDRIO;VENTA DE DRYWALL;2133948;4799;300000;300000;15;150141;0;0;0;PLANCHAS DE DRYWALL;1113524;12;1335602;814318;0;1501;13;2149920;0;2149920;22;6507032;6507032;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;6507032;0;0;6507032;6507032;0;2019;0
2717;;;1205105;;3237537;3237537;15;150199;0;;4000403;;2216307;;5680301;-1800072;0;1501;61242;3880229;0;3880229;12;9376399;7899423;1476976;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;0;;;;;;;;;;;2015;0
2822;VENTA DE MATERIALES DE CONTRUCCION;VENTA DE CEMENTOS;447357;4663;232470;232470;15;150117;0;0;0;LADRILLOS Y CEMENTOS;581063;10;8039;495928;0;1501;0;503967;0;503967;5;5204438;5204438;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;5204438;0;0;5204438;5204438;0;2019;0
4338;VENTA DE COMBUSTIBLES Y LUBRICANTES AL POR MENOR;;1687422;4730;137002;7335262;15;150131;0;0;0;COMBUSTIBLES;1116460;12;44273;1769136;231807;1501;351587;1932519;119110;1932519;17;8824591;8592784;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;100;0;0;0;0;0;2016;1
5092;;;1926782;;425435;425435;15;150199;0;;0;;1947376;;3122072;2460710;0;1501;1051045;5582782;0;5582782;0;8293568;8293568;0;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;1;;0;;;;;;;;;;;2015;1
5092;VENTA POR MENOR DE COMBUSTIBLE;;1074183;4730;425435;53565412;15;150199;0;0;0;COMBUSTIBLE;1287949;12;613273;2301928;0;1501;418661;5006619;2091418;5006619;17;7757910;7757910;0;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;100;0;0;0;0;0;0;2016;0
6104;VENTA AL POR MENOR DE COMBUSTIBLES;;5419844;4730;274468;3680660;15;150131;0;0;4331842;GASOLINA 84 OCTANOS Y DIESEL B5;1017573;12;2163;5732785;0;1501;709850;5734948;0;5734948;6;7439299;7439299;6024196;ventas_mostrador;3;1;0;1;0;1;0;0;1;0;0;0;0;0;0;97;0;3;0;0;100;0;0;0;0;0;2016;1
6872;;;1855463;;118764;118764;15;150101;0;;285349;;453577;;1962762;527198;0;1501;158134;2489960;0;2489960;12;7126982;7126982;0;ventas_mostrador;2;1;0;0;0;0;0;0;1;0;1;0;0;1;;0;;;;;;;;;;;2015;1
6901;;;1162050;;850000;850000;15;150199;0;;38914;;580520;;659608;1151247;0;1501;271212;1810855;0;1810855;6;7001379;7001379;0;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;0;;0;;;;;;;;;;;2015;0
8375;VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION;ADMINISTRACION VENTA MATERIALES DE CONSTRUCCION;2723233;4663;489178;489178;15;150116;0;0;0;FIERROS CORRUGADOS;317434;12;1121498;547916;0;1501;0;2733977;1064563;2733977;2;8012195;8012195;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8012195;0;0;8012195;8012195;0;2019;0
9921;VENTA DE ARTICULOS PARA LA INDUSTRIA;VENTA DE ARTICULOS PARA LA INDUSTRIA;11558699;4663;0;0;15;150199;0;0;371754;DISCOS DE CORTE;3941461;12;531789;11307933;128268;1501;-90647;11839722;0;11839722;38;9002319;8874051;0;ventas_mostrador 2018;2;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9002319;9002319;0;2018;0
9924;IMPORTACION EXPORTACION VENTA DE CADENAS Y SIMILARES Y SU COMERCIALIZACION EN EL MERCADO NACIONAL;VENTA AL POR MAYOR Y MENOR DE CADENAS DE TRANSMISION OTROS;8258123;4652;2684774;2684774;15;150101;0;0;0;CADENA DE TRANSMISION;2300118;12;5355278;3047687;0;1501;396899;8402965;0;8402965;22;4542809;4542809;0;ventas_comisionistas;2;1;0;1;0;0;0;0;1;0;0;0;0;1;0;3180918;0;0;0;0;1361891;0;0;4542809;4542809;0;2019;0
9976;IMPORTACION Y DISTRIBUCION DE LIBROS DE CULTURA GENERAL;VENTAS DE LIBROS INFANTILES;29651964;4649;7976740;7976740;15;150122;0;0;0;LIBROS;3416761;12;30257178;1170437;0;1501;31108;32238532;810917;32238532;48;7299826;7299826;0;ventas_mostrador;2;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;656984;0;0;6642842;0;0;7299826;7299826;0;2019;0
10048;;;9658995;;1941108;1941108;15;150113;0;;342998;;3153434;;671696;11073387;0;1501;1234024;11745083;0;11745083;8;8259970;8259970;0;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;0;;0;;;;;;;;;;;2015;1
