activo_corriente;capital_invertido;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;provincia;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;publicidad;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;usa_ventas_comisionistas;uso_de_software;ventas_ventas_comisionistas;sobrevive_2años
2329080;492411;1092782;90142;5363551;1501;231841;5453693;0;5453693;17;8827287;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;;0
655607;3000000;25651;8573;571956;1501;-1385061;704662;124133;704662;3;7522260;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1504242;144574;1623338;119766;2494256;1501;441991;3126993;512971;3126993;18;8422528;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;;0
2133948;300000;1113524;1335602;814318;1501;13;2149920;0;2149920;22;6507032;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0
1205105;3237537;2216307;5680301;-1800072;1501;61242;3880229;0;3880229;12;7899423;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;;0
447357;232470;581063;8039;495928;1501;0;503967;0;503967;5;5204438;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
1687422;7335262;1116460;44273;1769136;1501;351587;1932519;119110;1932519;17;8592784;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1
1926782;425435;1947376;3122072;2460710;1501;1051045;5582782;0;5582782;0;8293568;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;1;;1
1074183;53565412;1287949;613273;2301928;1501;418661;5006619;2091418;5006619;17;7757910;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0
5419844;3680660;1017573;2163;5732785;1501;709850;5734948;0;5734948;6;7439299;ventas_mostrador;3;1;0;1;0;1;0;0;1;0;0;0;0;0;1
1855463;118764;453577;1962762;527198;1501;158134;2489960;0;2489960;12;7126982;ventas_mostrador;2;1;0;0;0;0;0;0;1;0;1;0;1;;1
1162050;850000;580520;659608;1151247;1501;271212;1810855;0;1810855;6;7001379;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;;0
2723233;489178;317434;1121498;547916;1501;0;2733977;1064563;2733977;2;8012195;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
11558699;0;3941461;531789;11307933;1501;-90647;11839722;0;11839722;38;8874051;ventas_mostrador;2;1;0;1;0;0;0;0;1;0;0;0;0;0;0
8258123;2684774;2300118;5355278;3047687;1501;396899;8402965;0;8402965;22;4542809;ventas_comisionistas;2;1;0;1;0;0;0;0;1;0;0;0;1;0;0
29651964;7976740;3416761;30257178;1170437;1501;31108;32238532;810917;32238532;48;7299826;ventas_mostrador;2;1;0;0;0;1;0;0;1;0;0;0;1;0;0
9658995;1941108;3153434;671696;11073387;1501;1234024;11745083;0;11745083;8;8259970;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;;1
10642070;160000;2366161;2265994;8561650;1501;794381;10827644;0;10827644;5;8735430;ventas_comisionistas;2;1;0;0;0;0;0;0;0;0;1;1;1;;1
10907097;3600000;2255700;2046007;8904997;1501;448765;10951004;0;10951004;10;8724709;ventas_telefono;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1
10044747;160000;1685593;1118577;9019719;1501;292015;10138296;0;10138296;5;7342959;ventas_comisionistas;2;1;0;1;0;0;0;0;0;0;1;0;0;0;1
13213865;4673006;2848798;10682153;5744291;1501;2876598;16426444;0;16426444;21;7826012;ventas_ecommerce;5;1;1;1;1;1;0;0;0;0;1;0;1;0;1
40288377;5496856;1110139;31249300;12763772;1501;0;44013072;0;44013072;9;3540481;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5401731;2425176;2503762;1673920;2659954;1501;45345;5823470;1489596;5823470;35;6690985;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
13114811;7256000;3145584;2273812;11750214;1501;609975;17166855;3142829;17166855;67;7937604;ventas_otros;1;1;0;0;0;0;0;0;0;1;0;0;0;;1
13114811;7256000;3145584;2273812;11750214;1501;58711;17166855;3142829;17166855;68;7937604;0;;1;;;;;;;;;;0;0;0;0
8666225;983021;2832354;6405738;6662999;1501;0;13068737;0;13068737;15;7298744;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
4136564;3826500;902638;2445488;2243114;1501;127530;4688602;0;4688602;29;8843178;ventas_catalogo;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
4104455;2225220;962935;3224389;2291959;1501;44566;5516348;0;5516348;36;8404075;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1
3756630;1972358;-735269;5954388;-970249;1501;0;4984139;0;4984139;6;3869733;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
2040267;1188780;701723;1934065;1680508;1501;-160452;4236209;621636;4236209;8;7396407;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;;0
4424418;2260000;1853313;2657880;1535715;1501;-404704;4533160;339565;4533160;17;8047115;ventas_domicilio;4;1;0;1;1;0;0;0;1;0;1;0;1;0;0
