activo_corriente;capital_invertido;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;provincia;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;publicidad;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;uso_de_software;sobrevive_2años
2329080;492411;1092782;90142;5363551;1501;231841;5453693;0;5453693;17;8827287;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
655607;2478552.625;25651;8573;571956;1501;0;704662;124133;704662;3;7522260;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1504242;144574;1623338;119766;2494256;1501;326647.5;3126993;460772.5;3126993;18;8422528;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
2133948;300000;1113524;1335602;814318;1501;13;2149920;0;2149920;22;6507032;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
1205105;2478552.625;2216307;5277292.25;0;1501;61242;3880229;0;3880229;12;7899423;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
447357;232470;581063;8039;495928;1501;0;503967;0;503967;5;5204438;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
1687422;2478552.625;1116460;44273;1769136;1501;326647.5;1932519;119110;1932519;17;8592784;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
1926782;425435;1947376;3122072;2460710;1501;326647.5;5582782;0;5582782;0;8293568;7;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
1074183;2478552.625;1287949;613273;2301928;1501;326647.5;5006619;460772.5;5006619;17;7757910;7;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
5419844;2478552.625;1017573;2163;5732785;1501;326647.5;5734948;0;5734948;6;7439299;1;3;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
1855463;118764;453577;1962762;527198;1501;158134;2489960;0;2489960;12;7126982;1;2;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
1162050;850000;580520;659608;1151247;1501;271212;1810855;0;1810855;6;7001379;7;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
2723233;489178;317434;1121498;547916;1501;0;2733977;460772.5;2733977;2;8012195;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
8158540.75;0;3281143.25;531789;5865724.375;1501;0;11533479.75;0;11533479.75;38;8874051;1;2;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
8158540.75;2478552.625;2300118;5277292.25;3047687;1501;326647.5;8402965;0;8402965;22;4542809;4;2;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
8158540.75;2478552.625;3281143.25;5277292.25;1170437;1501;31108;11533479.75;460772.5;11533479.75;48;7299826;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
8158540.75;1941108;3153434;671696;5865724.375;1501;326647.5;11533479.75;0;11533479.75;8;8259970;7;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
8158540.75;160000;2366161;2265994;5865724.375;1501;326647.5;10827644;0;10827644;5;8735430;4;2;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
