activo_corriente;capital_invertido;departamento;provincia;gastos_financieros;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;uso_de_software;sobrevive_2años
6111687;1926500;14;1401;0;1589152.0;5277181;3803972.0;74.0;9308564.0;0.0;9308564.0;20;5675543;1;1;False;False;False;False;False;False;True;False;False;False;False
459815;121134;14;1401;0;410101.0;8649;474583.0;0.0;483232.0;0.0;483232.0;4;2929296;1;1;False;False;False;False;False;False;True;False;False;False;True
1336352;121134;14;1401;0;695128.0;691954;690436.0;288335.0;1382390.0;0.0;1382390.0;3;3310132;6;1;False;False;False;True;False;False;False;False;False;False;True
2815459;658997;14;1409;0;805341.0;1466359;1528506.0;1.0;2994865.0;0.0;2994865.0;8;6265646;1;1;False;False;False;False;False;False;True;False;False;False;False
891646;208267;14;1401;0;392721.0;279600;3031069.0;0.0;3310669.0;0.0;3310669.0;5;4243171;1;1;False;False;False;False;False;False;True;False;False;False;False
1872542;126367;14;1401;0;618612.0;1262881;2564167.0;0.0;3827048.0;0.0;3827048.0;6;6299752;7;1;False;False;False;False;False;True;False;False;False;False;True
1230143;9951;14;1401;21537;259371.0;294264;984989.0;224923.0;1332907.0;53654.0;1332907.0;68;3705278;4;1;False;True;False;False;False;False;False;False;False;True;True
7294788;1926500;14;1401;0;1473644.0;5277181;4855232.25;206067.0;10137014.5;413218.75;10137014.5;6;7787245;1;1;False;False;False;False;False;False;True;False;False;False;True
611305;5000;14;1401;0;326749.0;10478;431160.0;0.0;611305.0;169667.0;611305.0;4;2513449;1;1;False;False;False;False;False;False;True;False;False;False;False
3198151;1320173;14;1401;14277;1671598.0;376819;4855232.25;727723.75;10137014.5;413218.75;10137014.5;12;7932771;7;1;False;False;False;False;False;True;False;False;False;False;False
7294788;1775890;14;1401;108440;2497747.75;5277181;3310022.0;552175.0;10137014.5;0.0;10137014.5;13;7861915;1;1;False;False;False;False;False;False;True;False;False;True;True
596376;42412;14;1401;0;224648.0;372830;283866.0;624.0;656696.0;0.0;656696.0;4;5016745;1;1;False;False;False;False;False;False;True;False;False;False;True
3094111;603394;14;1401;0;2024286.0;1084146;2120776.0;0.0;3301168.0;96246.0;3301168.0;16;8820941;1;1;False;False;False;False;False;False;True;False;False;False;True
560965;425157;14;1402;0;863529.0;6400;703326.0;5.0;709726.0;0.0;709726.0;9;5645322;7;1;False;False;False;False;False;True;False;False;False;False;False
934492;9951;14;1401;0;291012.0;165952;829024.0;0.0;994976.0;0.0;994976.0;1;4157311;1;1;False;False;False;False;False;False;True;False;False;False;True
585202;77478;14;1401;0;159367.0;191;736734.0;0.0;736925.0;0.0;736925.0;2;2492115;7;1;False;False;False;False;False;True;False;False;False;False;False
7294788;1926500;14;1401;108440;2403327.0;5277181;4855232.25;727723.75;10137014.5;144937.0;10137014.5;61;5682816;4;2;False;True;False;False;False;False;True;False;False;True;True
4472947;1926500;14;1401;108440;1421364.0;2268040;1593316.0;-436634.25;4830560.0;413218.75;4830560.0;22;3578081;1;1;False;False;False;False;False;False;True;False;False;False;True
2636847;1155290;14;1401;108440;796488.0;670695;2127778.0;333899.0;2798473.0;0.0;2798473.0;92;2954442;2;1;False;False;True;False;False;False;False;False;False;True;True
3695000;1926500;14;1401;108440;623541.0;491204;2459381.0;233871.0;5167740.0;413218.75;5167740.0;12;6318873;1;2;True;False;False;False;False;False;True;False;False;False;True
2691922;1198247;14;1401;0;849591.0;1730104;1375498.0;0.0;3105602.0;0.0;3105602.0;4;7844237;3;2;True;False;False;False;False;False;True;False;False;False;True
3294779;500;14;1401;1323;259075.0;216666;4855232.25;-169719.0;6185497.0;0.0;6185497.0;61;2731214;1;1;False;False;False;False;False;False;True;False;False;True;True
2389072;241872;14;1401;0;272437.0;423452;2025552.0;40850.0;2449004.0;0.0;2449004.0;8;8974287;5;2;False;False;False;False;False;False;True;False;True;False;True
4678650;1506118;14;1403;66098;2060111.0;1014248;4562033.0;197642.0;7070368.0;413218.75;7070368.0;61;8322595;2;3;False;False;True;False;False;False;True;False;True;False;True
5533679;186832;14;1409;0;2497747.75;908153;4855232.25;24479.0;6446597.0;0.0;6446597.0;16;7237854;9;0;False;False;False;False;False;False;False;False;False;False;True
5910969;186832;14;1409;108440;2497747.75;407361;4855232.25;727723.75;5973631.0;0.0;5973631.0;10;7566796;9;1;False;False;False;False;False;False;False;True;False;False;True
2002804;2;14;1401;21811;634660.0;1081069;1513428.0;92382.0;2594498.0;1.0;2594498.0;15;6168468;1;1;False;False;False;False;False;False;True;False;False;False;True
752748;833177;14;1401;0;1266447.0;169159;1492101.0;0.0;1661260.0;0.0;1661260.0;3;6170068;1;0;False;False;False;False;False;False;False;False;False;False;True
3447711;665000;14;1403;0;585767.0;2226;3973690.0;284439.0;3975916.0;0.0;3975916.0;33;4525200;5;3;False;True;False;True;False;False;False;False;True;False;True
5937898;1926500;14;1401;108440;1654343.0;2847147;4747725.0;532574.0;7594872.0;0.0;7594872.0;80;7457313;1;1;False;False;False;False;False;False;True;False;False;True;True
2520648;263553;14;1401;108440;737048.0;2692232;1242752.0;672193.0;3934984.0;0.0;3934984.0;15;7279613;1;1;False;False;False;False;False;False;True;False;False;False;True
4586952;254360;14;1410;0;646389.0;767167;4097167.0;408251.0;4864334.0;0.0;4864334.0;30;5434460;1;2;False;False;False;False;False;False;True;False;True;False;True
2263008;250743;14;1401;30;695805.0;291929;21870.0;-339569.0;2745594.0;413218.75;2745594.0;50;3676631;3;3;True;False;False;False;False;False;True;False;True;False;True
6859368;76520;14;1401;0;628479.0;0;4855232.25;28827.0;7114188.0;413218.75;7114188.0;100;667774;4;1;False;True;False;False;False;False;False;False;False;True;True
2448788;22059;14;1401;0;414364.0;411864;851446.0;85301.0;2753934.0;413218.75;2753934.0;17;5904614;4;1;False;True;False;False;False;False;False;False;False;True;True
6247209;35000;14;1409;0;2497747.75;430763;4855232.25;7919.0;7427547.0;0.0;7427547.0;16;7243461;1;1;False;False;False;False;False;False;True;False;False;False;True
7294788;250000;14;1409;0;801673.0;5277181;1869644.0;322190.0;10137014.5;413218.75;10137014.5;27;3485537;1;1;False;False;False;False;False;False;True;False;False;False;True
3892459;16475;14;1401;108440;1124408.0;3255733;2011406.0;444456.0;5267139.0;0.0;5267139.0;11;4184747;6;2;False;False;False;True;False;False;True;False;False;False;False
2328947;580260;14;1401;0;1292380.0;156556;2768827.0;2818.0;2925383.0;0.0;2925383.0;9;6575957;9;0;False;False;False;False;False;False;False;False;False;False;True
1820809;704306;14;1401;17168;288994.0;0;1325851.0;20142.0;1988562.0;413218.75;1988562.0;43;2614865;1;1;False;False;False;False;False;False;True;False;False;True;True
0;0;14;1401;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False
0;0;14;1401;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False
7294788;1224470;14;1401;108440;1703955.0;5277181;4855232.25;727723.75;10137014.5;0.0;10137014.5;11;5468171;1;1;False;False;False;False;False;False;True;False;False;False;False
729576;150000;14;1401;9202;737747.0;361139;1054958.0;265342.0;1441972.0;25875.0;1441972.0;31;4652415;4;1;False;True;False;False;False;False;False;False;False;False;True
6262631;1926500;14;1403;108440;807249.0;5277181;4855232.25;727723.75;10137014.5;413218.75;10137014.5;57;3019541;1;1;False;False;False;False;False;False;True;False;False;True;True
1155674;1000000;14;1407;32666;451150.0;612095;1723459.0;110619.0;2335554.0;0.0;2335554.0;20;5790853;1;1;False;False;False;False;False;False;True;False;False;False;True
