log_capital;log_activos;total_patrimonio;obligaciones_financieras;log_ventas;ganancias_netas;margen_utilidad;empleados;publicidad;tiene_software;cantidad_de_canales;mostrador;comercio_electronico;correo_catalogo_televentas;telefono;domicilio;ferias;comisionistas;maquinas_expendedoras;otros;survive_2_years
0;14.85388369;0;FALSE;15.13715066;-1503620.98;-0.401012005;13;FALSE;FALSE;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;TRUE;15.33056614;-1503620.98;-0.330489829;5;TRUE;FALSE;1;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
16.18643827;16.30688202;10973145;FALSE;0;-1503620.98;-1503620.98;2;FALSE;FALSE;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
18.0320129;19.32553721;-25561954;FALSE;15.3484857;-1503620.98;-0.324620343;66;FALSE;FALSE;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
0;14.85388369;0;TRUE;15.07638228;-1503620.98;-0.426136513;8;TRUE;FALSE;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;11.10518277;7034328;TRUE;15.05842952;-1503620.98;-0.433855923;15;TRUE;FALSE;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
16.04013422;16.63505836;8730417;FALSE;15.59839543;-1503620.98;-0.252837399;21;TRUE;TRUE;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;TRUE;15.52081559;-1503620.98;-0.273233417;25;TRUE;TRUE;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;TRUE;15.37888924;-1503620.98;-0.31489926;27;FALSE;FALSE;3;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
14.62421697;16.48676772;4578976;FALSE;15.80926335;-1503620.98;-0.204768214;28;TRUE;TRUE;4;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
16.56117191;16.92851818;5914522;FALSE;15.13948899;-1503620.98;-0.4000754;6;TRUE;FALSE;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;TRUE;15.3272739;-1503620.98;-0.331579674;15;FALSE;FALSE;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;TRUE;15.79772164;-1503620.98;-0.20714528;47;TRUE;TRUE;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
17.47587664;19.2015828;15981797;FALSE;14.6821084;-1503620.98;-0.63209116;58;TRUE;FALSE;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
16.12123781;16.19060262;3485453;TRUE;15.69662752;-1503620.98;-0.229181553;19;TRUE;FALSE;3;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
14.72136906;15.60293648;-4405556;TRUE;15.42467603;-1503620.98;-0.300806136;53;TRUE;FALSE;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;FALSE;14.86709902;-1503620.98;-0.525338597;17;TRUE;FALSE;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;TRUE;14.98471147;-1503620.98;-0.467047309;14;FALSE;FALSE;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;1407806;TRUE;15.25377929;-1503620.98;-0.356866845;11;TRUE;TRUE;2;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;TRUE;15.42264823;-1503620.98;-0.301416731;4;TRUE;TRUE;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;FALSE;15.72581366;-1503620.98;-0.222589298;1;FALSE;FALSE;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;TRUE;15.79309973;-1503620.98;-0.208104903;76;TRUE;FALSE;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;TRUE;15.4797351;-1503620.98;-0.284691725;5;TRUE;TRUE;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
15.09421999;15.68474344;3135205;FALSE;15.22828691;-1473156;-0.358663983;9;FALSE;FALSE;4;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
0;14.85388369;0;TRUE;15.33451094;-1408476;-0.30835853;11;TRUE;FALSE;1;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
13.12236538;16.42429659;-128287;TRUE;15.7437617;-1406956;-0.204574588;97;TRUE;TRUE;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
12.024179;15.30615773;-586299;FALSE;15.34338825;-1375213;-0.298415324;57;TRUE;TRUE;2;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
0;14.85388369;0;TRUE;15.53384198;-1307642;-0.234545447;60;FALSE;TRUE;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
14.96307998;14.82151987;528435;TRUE;15.68646191;-1276904;-0.196613982;10;TRUE;FALSE;3;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
15.47373883;16.26801841;-1840490;FALSE;15.00575536;-1262299;-0.383924199;89;FALSE;TRUE;3;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;FALSE;15.05067123;-1218698;-0.354382801;6;FALSE;FALSE;2;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;TRUE;15.80151123;-1187192;-0.16293404;15;TRUE;TRUE;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
13.37026978;14.36604178;235135;FALSE;14.62150818;-1180604;-0.527307476;17;TRUE;FALSE;2;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
0;14.85388369;0;TRUE;15.60235112;-1137637;-0.19054112;14;FALSE;TRUE;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
15.07431893;15.52349015;-1738645;FALSE;14.77137156;-1115860;-0.429026929;24;TRUE;TRUE;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
