IRUC;Capital;Total_Activo;Total_Patrimonio;Obligaciones_Financieras;Publicidad;Tiene_Software;Ventas_Netas;Ganancias_Netas;Empleados;Cantidad de canales;Mostrador;Comercio_Electronico;Correo_catalogo_televentas;Telefono;Domicilio;Ferias;Comisionistas;Maquinas_expendedoras;Otros;Survive_2_years
552;121134;1382390;690436;FALSO;FALSO;VERDADERO;3310132;215853;3;1;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
1416;116660;1283349;427212;FALSO;FALSO;FALSO;6081760;-242430;14;1;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
1767;52571;4806290;3777761;VERDADERO;FALSO;VERDADERO;6239167;637382;16;1;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO
2109;1267177;11191247;11144484;FALSO;FALSO;FALSO;3528029;192600;8;1;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO
2345;384109;3235066;951809;FALSO;FALSO;FALSO;3276380;178903;5;1;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
3388;1089251;1877142;1829984;FALSO;FALSO;FALSO;4585885;-141593;25;1;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
4338;137002;1544029;1457806;FALSO;FALSO;FALSO;5422336;210733;20;1;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
4500;1494305;4517082;3503302;FALSO;VERDADERO;FALSO;4651299;236302;12;1;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO
4848;295888;3939572;1777788;FALSO;VERDADERO;FALSO;7456216;605533;5;2;VERDADERO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO
5764;195495;2750782;1772690;FALSO;FALSO;FALSO;5874352;39431;13;1;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
5847;50600;966042;595939;FALSO;FALSO;FALSO;3173914;259440;5;1;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
6040;61052;3755610;3304754;FALSO;VERDADERO;FALSO;3478318;142224;4;1;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
6129;461224;2538476;1723175;FALSO;FALSO;FALSO;3513632;152886;5;1;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
6872;262466;3266574;516835;FALSO;FALSO;VERDADERO;6941749;217171;10;2;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
