capital,total_activo,total_patrimonio,obligaciones_financieras,publicidad,tiene_software,ventas_netas,ganancias_netas,empleados,cantidad_de_canales,mostrador,comercio_electronico,correo_catalogo_televentas,telefono,domicilio,ferias,comisionistas,maquinas_expendedoras,otros,survive_2_years,log_ventas,log_activos,log_capital,ganancias_trunc,margen_utilidad
0,2824617.0,0,0,0,0,2918511,-64752.0,9,1,1,0,0,0,0,0,0,0,0,0,14.886584455318745,14.853883692180524,0.0,-64752.0,-0.022186648538707394
121134,1382390.0,690436,0,0,1,3310132,215853.0,3,1,0,1,0,0,0,0,0,0,0,1,15.012498927814882,14.13932516659407,11.704660905124758,215853.0,0.06520976649578733
0,2824617.0,0,1,0,1,4638976,179392.0,6,1,1,0,0,0,0,0,0,0,0,1,15.350004425756511,14.853883692180524,0.0,179392.0,0.03867059483157601
0,2824617.0,0,1,0,0,2804672,143101.0,6,1,0,0,0,0,0,0,0,1,0,1,14.846797512603137,14.853883692180524,0.0,143101.0,0.05102234734673169
116660,1283349.0,427212,0,0,0,6081760,-242430.0,14,1,1,0,0,0,0,0,0,0,0,0,15.62080485016321,14.064984404524514,11.667027572189285,-242430.0,-0.03986180976200808
0,2824617.0,0,1,1,0,5914221,135722.0,9,1,1,0,0,0,0,0,0,0,0,1,15.59287051673534,14.853883692180524,0.0,135722.0,0.02294841147322505
52571,4806290.0,3777761,1,0,1,6239167,637382.0,16,1,0,0,0,0,0,0,0,1,0,1,15.646357398122598,15.385436242758875,10.8699389376019,637382.0,0.10215817237170084
1267177,11191247.0,11144484,0,0,0,3528029,192600.0,8,1,0,0,0,0,0,0,0,1,0,1,15.076250199474027,16.23064260221944,14.052302938780482,192600.0,0.054591372522342495
384109,3235066.0,951809,0,0,0,3276380,178903.0,5,1,1,0,0,0,0,0,0,0,0,1,15.002250017559033,14.989560196676393,12.858684248881843,178903.0,0.054603844913030566
0,2824617.0,0,1,0,0,4575507,185963.0,7,1,1,0,0,0,0,0,0,0,0,1,15.336228288778834,14.853883692180524,0.0,185963.0,0.040643137330324854
0,2824617.0,0,1,1,1,6657270,238346.0,11,1,0,0,0,0,0,0,0,1,0,1,15.71122019878234,14.853883692180524,0.0,238346.0,0.03580235805332245
1089251,1877142.0,1829984,0,0,0,4585885,-141593.0,25,1,0,1,0,0,0,0,0,0,0,0,15.338493883826732,14.445261498068923,13.901001780103778,-141593.0,-0.030875822033081503
0,12843.0,0,1,0,0,6836758,31684.0,18,1,0,0,0,0,0,0,0,1,0,0,15.737824346896275,9.460632055209405,0.0,31684.0,0.0046343596432169105
0,2824617.0,0,0,0,0,3446801,182640.0,5,1,1,0,0,0,0,0,0,0,0,1,15.052957402595927,14.853883692180524,0.0,182640.0,0.05298824823706148
137002,1544029.0,1457806,0,0,0,5422336,210733.0,20,1,1,0,0,0,0,0,0,0,0,1,15.506037461295904,14.24990643942991,11.827758102380727,210733.0,0.03886386995127747
1494305,4517082.0,3503302,0,1,0,4651299,236302.0,12,1,0,0,0,0,0,0,0,1,0,1,15.352657308383632,15.323376989495596,14.217172442979404,236302.0,0.05080343129877669
0,2824617.0,0,1,1,1,6603313,266106.0,13,1,0,0,0,0,0,0,0,1,0,1,15.703082202188103,14.853883692180524,0.0,266106.0,0.04029885599866976
0,2824617.0,0,0,0,0,3394838,160199.0,1,1,1,0,0,0,0,0,0,0,0,1,15.03776689517003,14.853883692180524,0.0,160199.0,0.04718898304161111
0,2824617.0,0,0,1,1,3806440,214767.0,7,1,1,0,0,0,0,0,0,0,0,1,15.152205189805313,14.853883692180524,0.0,214767.0,0.056421996295226956
295888,3939572.0,1777788,0,1,0,7456216,605533.0,5,2,1,0,0,0,1,0,0,0,0,1,15.824558739001302,15.186582899766535,12.597739662976114,605533.0,0.08121182631889604
0,2824617.0,14465,1,0,0,3368089,189877.0,13,1,1,0,0,0,0,0,0,0,0,1,15.029856376077587,14.853883692180524,0.0,189877.0,0.05637527500749683
0,2824617.0,0,1,0,0,2626861,163679.0,9,1,1,0,0,0,0,0,0,0,0,1,14.78130053588321,14.853883692180524,0.0,163679.0,0.062309706410157824
195495,2750782.0,1772690,0,0,0,5874352,39431.0,13,1,1,0,0,0,0,0,0,0,0,1,15.586106484270426,14.827396156388364,12.183295197840184,39431.0,0.006712398795237535
50600,966042.0,595939,0,0,0,3173914,259440.0,5,1,1,0,0,0,0,0,0,0,0,1,14.970476399621681,13.780963625661517,10.831726617926124,259440.0,0.08174131947452909
61052,3755610.0,3304754,0,1,0,3478318,142224.0,4,1,1,0,0,0,0,0,0,0,0,1,15.062059689069354,15.13876154632166,11.019497618380658,142224.0,0.040888716647323034
